Actual Price,Predicted Price
44157.0,43037.23185670376
44156.899999999994,43715.902156400676
43967.9,43994.14417532682
43927.299999999996,43758.83893839121
46962.19999999999,43467.15712747574
46128.99999999999,46185.67515605688
46629.299999999996,46650.554338204856
46348.2,46622.9039041996
42835.9,46199.97725485563
42851.299999999996,42386.542977464196
41746.09999999999,41797.169338476655
42510.7,41384.04598523378
43145.49999999999,41624.74717235565
42768.69999999999,42963.54817534685
41292.69999999999,42821.99485096931
41647.99999999999,41060.267198634145
41695.399999999994,40832.88821620941
41583.2,40872.00123366117
39556.4,41100.51253815889
39888.799999999996,39373.91300059557
40085.99999999999,39633.74172058105
39935.7,40131.26226402521
41811.299999999996,39841.100377738476
42120.9,41080.00879846811
42030.69999999999,41735.897649073595
43299.8,41861.19344153404
42946.19999999999,43131.4671836853
42580.49999999999,43193.50536803007
43081.399999999994,42292.5907310009
43194.69999999999,42868.21536697149
43005.69999999999,43058.13190912008
42581.399999999994,42722.886183989045
42697.2,42347.029292201994
43087.69999999999,42149.53490233421
44339.799999999996,42620.10182535648
45293.299999999996,44080.9889232397
47127.49999999999,44983.87205864191
47758.2,46884.90581154823
